"jc2656" "jc2657" "jc2658" "jc2659"
59 49 30 16
2375 2961 5879 3223
36 29 17 17
1896 2417 5185 2619
241 251 657 355
190 152 235 153
122 121 276 164
1573 2596 4951 3810
43 47 37 28
694 919 1955 1215
75 74 44 18
1745 2224 4353 2073
30 32 38 8
83 85 134 70
51 52 71 58
1524 2156 2272 1637
7823 10362 19852 12390
69 70 81 110
101 95 99 69
1047 1239 2451 1874
23 21 33 33
1493 2474 5426 3789
28 49 36 6
10 20 43 13
29 32 88 82
45 24 88 21
20 10 53 29
284 359 924 795
105 152 419 335
66 37 68 28
81 62 50 50
1127 1892 3449 2496
436 535 1034 694
1019 1424 3146 1630
38 39 24 20
117 162 398 283
46 45 26 18
516 621 1508 1111
910 1220 2597 1598
514 616 1331 762
1289 1944 4156 2351
48 98 146 140
99 88 65 40
968 1229 2504 1504
39 31 16 11
1860 2419 4532 3003
7379 9892 17757 10930
310 309 752 300
391 447 853 426
63 69 163 127
927 1360 2702 1701
1082 1314 2426 1450
82 100 47 32
132 136 197 107
297 293 458 238
413 744 1059 857
93 110 155 83
270 386 872 765
377 488 966 623
158 184 527 172
26 40 98 42
228 241 657 322
874 1247 2316 1898
809 1084 1849 1304
777 915 1911 872
157 191 470 369
1206 1974 4148 2931
57 49 28 21
679 956 2079 1592
564 923 2093 1766
159 237 515 325
62 65 122 96
567 610 1968 893
46 41 139 44
34 34 107 71
608 726 1336 675
32 11 41 5
183 175 491 172
537 682 1462 710
483 676 1539 949
794 1052 2368 1079
986 1667 3240 2296
205 310 875 663
30 29 71 10
942 1424 2880 1587
653 922 2060 1606
142 234 553 366
49 43 132 49
42 43 115 81
981 1750 3741 2804
286 411 869 703
498 587 1388 1154
1978 2941 5736 4080
44 17 50 22
1228 1748 3700 2550
269 375 729 499
606 794 1824 1062
833 1307 2538 2076
1742 2584 5678 3915
75 42 44 16
1278 1545 3565 1493
1590 2059 4302 2661
44 33 26 13
1240 1521 3229 1472
48 35 23 18
1564 2167 4699 3520
273 456 1317 554
57 55 216 140
16 22 42 27
1050 1308 2826 1354
157 141 380 188
51 36 130 52
1846 2423 5400 3565
41 13 50 27
1622 2181 4462 3048
1469 1738 4003 1822
10 7 21 24
55 55 168 93
66 11 39 9
588 760 1909 1520
2099 2846 5948 3483
1381 1797 4219 2877
850 980 2447 1627
2235 3101 6771 3624
